Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
WPN,"fazmerir",33516267,50.0,2025-05-22 11:30,2025-05-22 21:30,1116,5.0,H,No Limit,Normal,-55.00,316,Multi-Entry,USD,,36011,8,,"OSSXL#208H - $75,000 GTD",591,
GGNetwork,"gold soundz",206494756,46.0,2025-05-22 19:00,2025-05-22 21:28,364,4.0,H,No Limit,Normal,-50.00,,Satellite Multi-Entry,USD,,8887,8,,"The Weekender [Day 1B]",48,
GGNetwork,"gold soundz",206870523,27.6,2025-05-22 12:00,2025-05-22 21:24,4087,2.4,H,No Limit,Normal,-30.00,,Deep-Stack Multi-Entry,USD,,33848,8,,"169-M: $30 Thursday Titans",1893,
PokerStars,"lo-fi dream",3883653113,9.8,2025-05-21 16:05,2025-05-22 20:47,5004,1.2,H,No Limit,Normal,-2.34,1163,Bounty Progressive-Bounty Multi-Entry,USD,,103337,8,8.66,"SCOOP 64-L: $11 NLHE [Progressive KO], $70K Gtd - 2-Day Event",2303,
PokerStars,"lo-fi dream",3890335454,24.55,2025-05-22 11:30,2025-05-22 20:44,2203,2.45,H,No Limit,Normal,10.13,353,Bounty Progressive-Bounty Multi-Entry,USD,,33259,8,37.13,"SCOOP Edition: $27 Daily Eliminator [Progressive KO], $60K Gtd",544,12.24
WPN,"fazmerir",33501885,100.0,2025-05-22 11:45,2025-05-22 20:29,571,9.0,H,No Limit,Normal,300.10,13,Multi-Entry,USD,2,31475,8,627.1,"OSSXL#209L - $75,000 GTD",291,
PokerStars,"lo-fi dream",3883653125,50.0,2025-05-22 11:05,2025-05-22 20:27,1870,5.0,H,No Limit,Normal,-110.00,557,Multi-Entry,USD,,33739,8,,"SCOOP 67-M: $55 NLHE, $125K Gtd",800,
PokerStars,"lo-fi dream",3883653125,50.0,2025-05-22 11:05,2025-05-22 20:27,1870,5.0,H,No Limit,Normal,-110.00,1823,Multi-Entry,USD,,33739,8,,"SCOOP 67-M: $55 NLHE, $125K Gtd",800,
GGNetwork,"gold soundz",206870517,50.6,2025-05-22 11:00,2025-05-22 20:24,3797,4.4,H,No Limit,Normal,107.56,209,Bounty Deep-Stack Multi-Entry,USD,,33842,8,162.56,"168-M: $55 Bounty Hunters Fifty Stack",1606,
PokerStars,"lo-fi dream",3883653124,4.9,2025-05-22 11:05,2025-05-22 20:16,3914,0.6,H,No Limit,Normal,-5.50,3407,Multi-Entry,USD,,33072,8,,"SCOOP 67-L: $5.50 NLHE, $30K Gtd",2058,
