Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"KKarlinhos",3868794753,20.0,2025-03-17 14:30,2025-03-17 22:24,1457,2.0,H,No Limit,Normal,-66.00,1135,6-Max Bounty Progressive-Bounty Multi-Entry,USD,,28488,6,,"$22 Mini Monday 6-Max [Progressive KO], $30K Gtd / New Start Time!",379,
PokerStars,"KKarlinhos",3868794753,20.0,2025-03-17 14:30,2025-03-17 22:24,1457,2.0,H,No Limit,Normal,-66.00,1700,6-Max Bounty Progressive-Bounty Multi-Entry,USD,,28488,6,,"$22 Mini Monday 6-Max [Progressive KO], $30K Gtd / New Start Time!",379,
GGNetwork,"LittleCop",194735424,18.4,2025-03-17 18:45,2025-03-17 22:17,1009,1.6,H,No Limit,Super Turbo,-20.00,,6-Max Multi-Entry,USD,,12733,6,,"Daily Hypersonic $20",307,
PokerStars,"KKarlinhos",3868794768,9.8,2025-03-17 17:02,2025-03-17 22:09,1734,1.2,H,No Limit,Turbo,-22.00,1516,Bounty Progressive-Bounty Multi-Entry,USD,,18474,8,,"$11 Mini Daily Cooldown [8-Max, Turbo, Progressive KO], $20K Gtd",414,
PokerStars,"KKarlinhos",3868794768,9.8,2025-03-17 17:02,2025-03-17 22:09,1734,1.2,H,No Limit,Turbo,-22.00,1960,Bounty Progressive-Bounty Multi-Entry,USD,,18474,8,,"$11 Mini Daily Cooldown [8-Max, Turbo, Progressive KO], $20K Gtd",414,
PokerStars,"KKarlinhos",3868798212,14.7,2025-03-17 14:30,2025-03-17 22:06,1558,1.8,H,No Limit,Normal,-12.75,853,Bounty Multi-Entry,USD,,27366,8,3.75,"Bounty Builder $16.50, $20K Gtd",295,3.75
PokerStars,"KKarlinhos",3868794748,50.0,2025-03-17 13:30,2025-03-17 21:36,1791,5.0,H,No Limit,Normal,54.04,250,Bounty Progressive-Bounty Multi-Entry,USD,,29172,8,109.04,"$55 Mini Bounty Builder HR [Progressive KO], $100K Gtd",597,50.0
iPoker,"GOLDLILI",1117953098,91.0,2025-03-16 13:00,2025-03-17 20:43,259,9.0,H,No Limit,Normal,-100.00,194,Deep-Stack Multi-Entry,EUR,,114191,8,,"€30,000 | The Masterclass",161,
GGNetwork,"LittleCop",194698371,49.68,2025-03-17 15:15,2025-03-17 20:40,765,4.32,H,No Limit,Turbo,-54.00,,Bounty Deep-Stack Multi-Entry,USD,,19538,8,,"Bounty Hunters Deepstack Turbo $54",140,
PokerStars,"KKarlinhos",3868795677,15.5,2025-03-17 18:35,2025-03-17 20:27,398,1.0,H,No Limit,Super Turbo,2.74,69,Bounty Progressive-Bounty Multi-Entry,USD,,6729,7,19.24,"Hot Hyper $16.50 [Progressive KO], $5K Gtd",29,18.75
PokerStars,"KKarlinhos",3868795677,15.5,2025-03-17 18:35,2025-03-17 20:27,398,1.0,H,No Limit,Super Turbo,2.74,415,Bounty Progressive-Bounty Multi-Entry,USD,,6729,7,19.24,"Hot Hyper $16.50 [Progressive KO], $5K Gtd",29,18.75
PokerStars,"KKarlinhos",3868794756,50.0,2025-03-17 16:30,2025-03-17 20:25,200,5.0,H,No Limit,Turbo,150.75,12,Bounty Progressive-Bounty Multi-Entry,USD,,14156,7,205.75,"The Fast 7 $55 [7-Max, 7 Minute Levels, Progressive KO], $10K Gtd",36,117.96
PokerStars,"KKarlinhos",3860789966,100.0,2025-03-16 14:05,2025-03-17 18:39,7071,9.0,H,No Limit,Normal,-83.10,1337,Bounty Mystery-Bounty Multi-Entry,USD,,102884,8,25.9,"Episode 13: $109 SUNDAY MILLION, $1M Gtd - Mystery Bounty - 2-Day Event",2583,
PokerStars,"KKarlinhos",3860789966,100.0,2025-03-16 14:05,2025-03-17 18:39,7071,9.0,H,No Limit,Normal,-83.10,6239,Bounty Mystery-Bounty Multi-Entry,USD,,102884,8,25.9,"Episode 13: $109 SUNDAY MILLION, $1M Gtd - Mystery Bounty - 2-Day Event",2583,
PokerStars,"KKarlinhos",3868795627,50.0,2025-03-17 15:15,2025-03-17 18:13,92,5.0,H,No Limit,Turbo,-55.00,81,Bounty Progressive-Bounty Multi-Entry,USD,,10726,8,,"Hot $55 [Progressive KO], $4K Gtd",5,
PokerStars,"KKarlinhos",3868795635,25.71,2025-03-17 15:35,2025-03-17 17:33,260,1.29,H,No Limit,Super Turbo,27.03,34,6-Max Multi-Entry,USD,,7098,6,54.03,"Hot Hyper $27, $5K Gtd",24,
GGNetwork,"LittleCop",194588518,138.0,2025-03-16 14:00,2025-03-17 16:43,8278,12.0,H,No Limit,Normal,-150.00,6555,,USD,,96201,8,,"GGMasters $150, $1M GTD [2-Day Event]",,
GGNetwork,"LittleCop",194039013,99.36,2025-03-16 17:00,2025-03-17 02:22,5383,8.64,H,No Limit,Normal,-108.00,,Bounty Mystery-Bounty Multi-Entry,USD,,33720,8,,"WSOPC: $108 Sunday Showdown [Mystery Bounty]",2871,
GGNetwork,"LittleCop",194039004,23.0,2025-03-16 16:00,2025-03-17 02:10,4075,2.0,H,No Limit,Normal,-25.00,,Multi-Entry,USD,,36641,8,,"WSOPC: $25 Sunday Mini Super CLASSIC",1292,
GGNetwork,"LittleCop",194038984,50.6,2025-03-16 15:05,2025-03-17 02:04,3128,4.4,H,No Limit,Normal,64.53,371,Deep-Stack Multi-Entry,USD,,39558,8,119.53,"WSOPC: $55 Sunday Fifty Stack",1064,
PokerStars,"KKarlinhos",3868052052,50.0,2025-03-16 18:30,2025-03-17 01:21,708,5.0,H,No Limit,Normal,-42.50,413,Bounty Multi-Entry,USD,,24675,8,12.5,"Bounty Builder $55, $35K Gtd",143,12.5
GGNetwork,"LittleCop",194038992,99.36,2025-03-16 15:30,2025-03-17 01:16,2487,8.64,H,No Limit,Normal,-108.00,648,Bounty,USD,,35185,8,,"WSOPC: $108 Bounty Hunters Circuit Freezeout",,
GGNetwork,"LittleCop",194038972,197.8,2025-03-16 14:30,2025-03-17 01:16,1776,17.2,H,No Limit,Normal,-215.00,,Bounty Deep-Stack Multi-Entry,USD,,38778,8,,"WSOPC: $215 Sunday Bounty BIG DANCE",581,
PokerStars,"KKarlinhos",3868052034,20.0,2025-03-16 17:30,2025-03-17 01:09,1349,2.0,H,No Limit,Normal,-22.00,848,Bounty Multi-Entry,USD,,27553,8,,"Bounty Builder $22, $25K Gtd",233,
GGNetwork,"LittleCop",195333986,70.84,2025-03-16 19:15,2025-03-17 01:05,730,6.16,H,No Limit,Turbo,-77.00,,Deep-Stack Multi-Entry,USD,,21034,7,,"Sunday LUCKY SEVENS Turbo $77 [7-Max]",238,
GGNetwork,"LittleCop",194532046,49.68,2025-03-16 17:40,2025-03-17 00:54,936,4.32,H,No Limit,Normal,-54.00,,Bounty Deep-Stack Multi-Entry,USD,,26062,8,,"Bounty Hunters Sunday Encore $54",134,
GGNetwork,"LittleCop",194038969,500.0,2025-03-16 13:30,2025-03-17 00:34,2346,25.0,H,No Limit,Normal,-525.00,,Bounty Deep-Stack Multi-Entry,USD,,39898,8,,"WSOPC HR: $525 Bounty Hunters HR Main Event",821,
GGNetwork,"LittleCop",194038970,49.68,2025-03-16 13:30,2025-03-17 00:14,13450,4.32,H,No Limit,Normal,-108.00,,Bounty Deep-Stack Multi-Entry,USD,,38648,8,,"WSOPC: $54 Bounty Hunters Sunday Main Event",6711,
