Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
GGNetwork,"joaofwebber_",176215225,19.87,2024-12-02 14:30,2024-12-02 23:24,2944,1.73,H,No Limit,Normal,-11.60,876,Bounty Deep-Stack Multi-Entry,USD,,32054,8,10.0,"Bounty Hunters Big Game $21.60",872,
GGNetwork,"joaofwebber_",173976921,8.28,2024-12-02 15:00,2024-12-02 23:13,6791,0.72,H,No Limit,Normal,-27.00,,Deep-Stack Multi-Entry,USD,,29587,8,,"$15 Mini Monday Monster Stack",2496,
GGNetwork,"joaofwebber_",173976914,29.81,2024-12-02 13:30,2024-12-02 23:08,7891,2.59,H,No Limit,Normal,7.90,966,Bounty Deep-Stack Multi-Entry,USD,,34701,8,40.3,"$54 Bounty Hunters Daily Main",4253,
PokerStars,"JOAOFWEBBER",3828557868,9.8,2024-12-02 14:30,2024-12-02 23:05,3297,1.2,H,No Limit,Normal,-22.00,841,Bounty Mystery-Bounty Multi-Entry,USD,,30957,8,,"Mystery Bounty $11, $35K Gtd",1122,
PokerStars,"JOAOFWEBBER",3828557868,9.8,2024-12-02 14:30,2024-12-02 23:05,3297,1.2,H,No Limit,Normal,-22.00,2474,Bounty Mystery-Bounty Multi-Entry,USD,,30957,8,,"Mystery Bounty $11, $35K Gtd",1122,
PokerStars,"JOAOFWEBBER",3828557999,9.8,2024-12-02 18:02,2024-12-02 22:47,1765,1.2,H,No Limit,Turbo,-11.00,1110,Bounty Progressive-Bounty Multi-Entry,USD,,17150,8,,"$11 Mini Daily Cooldown [8-Max, Turbo, Progressive KO], $18K Gtd / New Start-Time!",473,
PokerStars,"JOAOFWEBBER",3828557059,14.7,2024-12-02 15:30,2024-12-02 22:44,1721,1.8,H,No Limit,Normal,67.12,253,Bounty Multi-Entry,USD,,26044,8,83.62,"Bounty Builder $16.50, $25K Gtd",362,68.18
PartyPoker,"josealdo",399097206,10.0,2024-12-02 16:05,2024-12-02 22:36,945,1.0,H,No Limit,Normal,-33.00,407,Bounty Multi-Entry,USD,,23455,9,,"The Super $11: $10,000 Gtd",257,
PartyPoker,"josealdo",399097206,10.0,2024-12-02 16:05,2024-12-02 22:36,945,1.0,H,No Limit,Normal,-33.00,690,Bounty Multi-Entry,USD,,23455,9,,"The Super $11: $10,000 Gtd",257,
PartyPoker,"josealdo",399097206,10.0,2024-12-02 16:05,2024-12-02 22:36,945,1.0,H,No Limit,Normal,-33.00,888,Bounty Multi-Entry,USD,,23455,9,,"The Super $11: $10,000 Gtd",257,
PokerStars,"JOAOFWEBBER",3828556743,9.8,2024-12-02 15:00,2024-12-02 22:27,686,1.2,H,No Limit,Normal,-11.00,456,Multi-Entry,USD,,26849,8,,"Big $11, $7K Gtd",115,
PokerStars,"JOAOFWEBBER",3828557055,9.8,2024-12-02 17:28,2024-12-02 22:21,116,1.2,H,No Limit,Normal,-11.00,113,Multi-Entry,USD,,17599,9,,"$11 NLHE, $1K Gtd",23,
PartyPoker,"josealdo",399098666,20.0,2024-12-02 18:05,2024-12-02 22:07,379,2.0,H,No Limit,Turbo,50.61,16,Bounty Multi-Entry,USD,,14551,7,72.61,"Daily Legends 7-Max Mystery Bounty Turbo: $7.5K Gtd",119,29.88
PokerStars,"JOAOFWEBBER",3828557879,4.9,2024-12-02 14:30,2024-12-02 21:46,3207,0.6,H,No Limit,Normal,-12.10,640,Bounty Progressive-Bounty Multi-Entry,USD,,26166,8,,"$5.50 Micro Bounty Builder HR [Progressive KO], $20K Gtd",1195,
PokerStars,"JOAOFWEBBER",3828557879,4.9,2024-12-02 14:30,2024-12-02 21:46,3207,0.6,H,No Limit,Normal,-12.10,1863,Bounty Progressive-Bounty Multi-Entry,USD,,26166,8,,"$5.50 Micro Bounty Builder HR [Progressive KO], $20K Gtd",1195,
PokerStars,"JOAOFWEBBER",3828557879,4.9,2024-12-02 14:30,2024-12-02 21:46,3207,0.6,H,No Limit,Normal,-12.10,2332,Bounty Progressive-Bounty Multi-Entry,USD,,26166,8,,"$5.50 Micro Bounty Builder HR [Progressive KO], $20K Gtd",1195,
PokerStars,"JOAOFWEBBER",3828558021,5.05,2024-12-02 19:02,2024-12-02 21:27,698,0.45,H,No Limit,Super Turbo,-11.00,345,6-Max Multi-Entry,USD,,8740,6,,"$5.50 Mini Daily Supersonic [6-Max, Hyper-Turbo], $4K Gtd / New Start-Time!",213,
PokerStars,"JOAOFWEBBER",3828558021,5.05,2024-12-02 19:02,2024-12-02 21:27,698,0.45,H,No Limit,Super Turbo,-11.00,798,6-Max Multi-Entry,USD,,8740,6,,"$5.50 Mini Daily Supersonic [6-Max, Hyper-Turbo], $4K Gtd / New Start-Time!",213,
GGNetwork,"joaofwebber_",176232117,8.17,2024-12-02 16:15,2024-12-02 21:27,1573,0.71,H,No Limit,Turbo,-8.88,,Bounty Deep-Stack Multi-Entry,USD,,18754,8,,"Bounty Hunters Deepstack Turbo $8.88",342,
GGNetwork,"joaofwebber_",176255823,9.2,2024-12-02 18:45,2024-12-02 21:22,704,0.8,H,No Limit,Super Turbo,-10.00,,6-Max Multi-Entry,USD,,9460,6,,"Daily Hyper $10",181,
PartyPoker,"josealdo",399097272,20.0,2024-12-02 15:05,2024-12-02 21:15,532,2.0,H,No Limit,Normal,-22.00,280,Bounty Multi-Entry,USD,,22207,9,,"Daily Legends Predator: $10K Gtd",94,
GGNetwork,"joaofwebber_",176246514,9.94,2024-12-02 17:45,2024-12-02 20:39,1279,0.86,H,No Limit,Normal,-14.10,303,6-Max Bounty Multi-Entry,USD,,10458,6,,"Bounty Hunters Hyper Special $10.80",344,
PokerStars,"JOAOFWEBBER",3828557374,10.27,2024-12-02 18:35,2024-12-02 20:35,538,0.73,H,No Limit,Super Turbo,-11.00,316,Multi-Entry,USD,,7245,7,,"Hot Hyper $11, $5K Gtd",78,
GGNetwork,"joaofwebber_",176259402,4.97,2024-12-02 19:10,2024-12-02 20:33,703,0.43,H,No Limit,Normal,3.69,87,6-Max Bounty Multi-Entry,USD,,5010,6,9.09,"Speed Racer Bounty $5.40 [10 BB]",366,
GGNetwork,"joaofwebber_",176212839,8.17,2024-12-02 14:15,2024-12-02 20:22,2639,0.71,H,No Limit,Turbo,-8.88,,Bounty Deep-Stack Multi-Entry,USD,,22026,8,,"Bounty Hunters Deepstack Turbo $8.88",564,
PokerStars,"JOAOFWEBBER",3828556964,6.69,2024-12-02 16:50,2024-12-02 20:20,335,0.81,H,No Limit,Turbo,-5.80,128,6-Max Bounty Progressive-Bounty Multi-Entry,USD,,12602,6,1.7,"$7.50 NLHE [6-Max, Turbo, Progressive KO], $2K Gtd",66,1.7
