Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"iagomialaret",3779538861,20.0,2024-07-25 10:30,2024-07-25 19:22,354,2.0,H,No Limit,Normal,-22.00,129,Multi-Entry,USD,,31924,8,,"The Marathon $22, $8K Gtd - New Buy-In!",81,
GGNetwork,"CashinAintEasy",154598244,8.17,2024-07-25 11:30,2024-07-25 18:21,1854,0.71,H,No Limit,Normal,-8.88,,Bounty Multi-Entry,USD,,24703,8,,"Bounty Hunters Special $8.88",375,
GGNetwork,"CashinAintEasy",154616506,29.44,2024-07-25 13:15,2024-07-25 18:16,685,2.56,H,No Limit,Turbo,-32.00,,Bounty Deep-Stack Multi-Entry,USD,,18116,8,,"Bounty Hunters Deepstack Turbo $32",129,
GGNetwork,"CashinAintEasy",154566595,23.0,2024-07-25 08:00,2024-07-25 17:15,1663,2.0,H,No Limit,Normal,-25.00,514,,USD,,33351,8,,"GGMasters Asia $25, $30K GTD",,
PokerStars,"iagomialaret",3779538858,9.8,2024-07-25 09:02,2024-07-25 17:15,568,1.2,H,No Limit,Normal,-11.00,387,Multi-Entry,USD,,29628,8,,"$11 Mini Daily Kickoff, $5K Gtd",150,
PokerStars,"iagomialaret",3780948075,14.7,2024-07-25 10:30,2024-07-25 17:15,944,1.8,H,No Limit,Normal,-16.50,741,Bounty Multi-Entry,USD,,24304,8,,"Bounty Builder $16.50, $12K Gtd",174,
GGNetwork,"CashinAintEasy",154595799,29.44,2024-07-25 11:15,2024-07-25 16:35,524,2.56,H,No Limit,Turbo,13.14,65,Bounty Deep-Stack Multi-Entry,USD,,19214,8,45.14,"Bounty Hunters Deepstack Turbo $32",102,
GGNetwork,"CashinAintEasy",154465974,8.17,2024-07-24 18:31,2024-07-25 02:09,739,0.71,H,No Limit,Normal,-8.88,,Bounty Multi-Entry,USD,,27485,8,,"Bounty Hunters Daily Double $8.88",165,
GGNetwork,"CashinAintEasy",154436678,23.0,2024-07-24 16:00,2024-07-25 01:07,2376,2.0,H,No Limit,Normal,-25.00,1123,Bounty,USD,,32877,8,,"GGMasters Bounty $25, $50K GTD",,
GGNetwork,"CashinAintEasy",154729882,29.44,2024-07-24 16:30,2024-07-25 00:55,1805,2.56,H,No Limit,Normal,-32.00,,Bounty Multi-Entry,USD,,30300,8,,"$32 Bounty King",542,
GGNetwork,"CashinAintEasy",154430550,9.94,2024-07-24 15:30,2024-07-25 00:49,2598,0.86,H,No Limit,Normal,-21.60,,Bounty Multi-Entry,USD,,33597,8,,"Bounty Hunters 25 Grand $10.80",721,
PokerStars,"iagomialaret",3779538826,20.0,2024-07-24 15:02,2024-07-25 00:47,2152,2.0,H,No Limit,Normal,-34.00,791,Bounty Progressive-Bounty Multi-Entry,USD,,35104,8,,"$22 Mini Battle Royale [Progressive KO], $40K Gtd",678,10.0
PokerStars,"iagomialaret",3779538826,20.0,2024-07-24 15:02,2024-07-25 00:47,2152,2.0,H,No Limit,Normal,-34.00,2401,Bounty Progressive-Bounty Multi-Entry,USD,,35104,8,,"$22 Mini Battle Royale [Progressive KO], $40K Gtd",678,10.0
GGNetwork,"CashinAintEasy",154729881,13.8,2024-07-24 15:00,2024-07-25 00:26,8902,1.2,H,No Limit,Normal,-15.00,,Bounty Deep-Stack Mystery-Bounty Multi-Entry,USD,,33966,8,,"$15 Mini Wednesday Wonderbox [Mystery Bounty]",5571,
PokerStars,"iagomialaret",3779535004,20.0,2024-07-24 17:30,2024-07-25 00:25,787,2.0,H,No Limit,Normal,-22.00,184,Bounty Multi-Entry,USD,,24903,8,,"Bounty Builder $22, $15K Gtd",169,
GGNetwork,"CashinAintEasy",154729874,23.0,2024-07-24 14:30,2024-07-24 23:39,4401,2.0,H,No Limit,Normal,-45.00,2141,Bounty Deep-Stack Multi-Entry,USD,,32967,8,,"$25 Bounty Big Game",1415,
GGNetwork,"CashinAintEasy",154460401,23.0,2024-07-24 18:00,2024-07-24 23:35,1750,2.0,H,No Limit,Turbo,-12.50,479,Bounty,USD,,20158,8,12.5,"GGMasters Bounty Turbo $25, $35K GTD",,
PokerStars,"iagomialaret",3779538833,9.8,2024-07-24 17:02,2024-07-24 23:30,1512,1.2,H,No Limit,Normal,6.23,335,Multi-Entry,USD,,23280,8,17.23,"$11 Mini Fenomeno, $15K Gtd",476,
iPoker,"mialarinhAA",1095001288,22.75,2024-07-24 16:00,2024-07-24 23:12,165,2.25,H,No Limit,Normal,-19.31,152,Bounty Deep-Stack Multi-Entry,EUR,,25965,8,5.69,"Late Bounty XL",27,5.69
PokerStars,"iagomialaret",3779534952,30.0,2024-07-24 15:30,2024-07-24 23:04,1065,3.0,H,No Limit,Normal,0.90,201,Bounty Multi-Entry,USD,,27262,8,33.9,"Bounty Builder $33, $30K Gtd",246,7.5
GGNetwork,"CashinAintEasy",154449808,16.35,2024-07-24 17:05,2024-07-24 23:04,1099,1.42,H,No Limit,Turbo,-17.77,,Deep-Stack Multi-Entry,USD,,21542,7,,"Mini LUCKY SEVENS Superstack Turbo $17.77 [7-Max]",337,
GGNetwork,"CashinAintEasy",154465804,19.87,2024-07-24 18:30,2024-07-24 23:02,93,1.73,H,No Limit,Normal,-16.60,41,Bounty Multi-Entry,USD,,16368,8,5.0,"Bounty Hunters $21.60",14,
iPoker,"mialarinhAA",1094992692,18.2,2024-07-24 14:30,2024-07-24 23:01,602,1.8,H,No Limit,Normal,-20.00,715,Bounty Deep-Stack Multi-Entry,EUR,,30702,8,,"€10,000|Big Game",159,
PokerStars,"iagomialaret",3779538839,9.8,2024-07-24 18:02,2024-07-24 22:55,1439,1.2,H,No Limit,Turbo,-11.00,1304,Bounty Progressive-Bounty Multi-Entry,USD,,17593,8,,"$11 Mini Daily Cooldown [8-Max, Turbo, Progressive KO], $15K Gtd",389,
GGNetwork,"CashinAintEasy",154729868,49.68,2024-07-24 13:30,2024-07-24 22:47,4058,4.32,H,No Limit,Normal,2.25,1237,Bounty Deep-Stack Multi-Entry,USD,,33427,8,56.25,"$54 Bounty Hunters Daily Main [Double Stack]",1885,
PokerStars,"iagomialaret",3779534863,6.69,2024-07-24 14:30,2024-07-24 22:44,1915,0.81,H,No Limit,Normal,-7.50,1058,Bounty Multi-Entry,USD,,29684,8,,"Bounty Builder $7.50, $12K Gtd",412,
PokerStars,"iagomialaret",3779538820,9.8,2024-07-24 13:30,2024-07-24 22:10,2999,1.2,H,No Limit,Normal,2.07,572,Bounty Mystery-Bounty Multi-Entry,USD,,31257,8,13.07,"Mystery Bounty $11, $25K Gtd / New Tournament!",958,
PokerStars,"iagomialaret",3779538824,50.0,2024-07-24 13:30,2024-07-24 21:58,1469,5.0,H,No Limit,Normal,26.78,279,Bounty Progressive-Bounty Multi-Entry,USD,,30487,8,81.78,"$55 Mini Bounty Builder HR [Progressive KO], $80K Gtd",533,37.5
GGNetwork,"CashinAintEasy",154439656,8.17,2024-07-24 16:15,2024-07-24 21:53,1466,0.71,H,No Limit,Turbo,15.76,150,Bounty Deep-Stack Multi-Entry,USD,,20318,8,24.64,"Bounty Hunters Deepstack Turbo $8.88",281,
GGNetwork,"CashinAintEasy",154401160,9.2,2024-07-24 13:05,2024-07-24 21:51,1226,0.8,H,No Limit,Normal,-10.00,,Multi-Entry,USD,,31619,8,,"Daily Special $10",321,
GGNetwork,"CashinAintEasy",154388260,23.0,2024-07-24 12:00,2024-07-24 21:49,4689,2.0,H,No Limit,Normal,131.89,82,Bounty,USD,,35398,8,156.89,"GGMasters Bounty Warm-Up $25, $100K GTD",,
iPoker,"mialarinhAA",1094985019,9.1,2024-07-24 13:00,2024-07-24 21:12,634,0.9,H,No Limit,Normal,-10.00,706,6-Max Bounty Deep-Stack Multi-Entry,EUR,,29563,6,,"€6,000|Wednesday Wildcard",160,
GGNetwork,"CashinAintEasy",154468471,9.2,2024-07-24 18:45,2024-07-24 21:12,523,0.8,H,No Limit,Super Turbo,-10.00,,6-Max Multi-Entry,USD,,8860,6,,"Daily Hyper $10",110,
GGNetwork,"CashinAintEasy",155347764,13.8,2024-07-24 12:30,2024-07-24 20:47,3267,1.2,H,No Limit,Normal,-15.00,,Bounty Multi-Entry,USD,,29848,8,,"Bounty Hunters Special $15",968,
PokerStars,"iagomialaret",3779534735,9.8,2024-07-24 12:30,2024-07-24 20:19,1849,1.2,H,No Limit,Normal,-8.50,991,Bounty Multi-Entry,USD,,28187,8,2.5,"Bounty Builder $11, $15K Gtd",451,2.5
GGNetwork,"CashinAintEasy",154391126,19.87,2024-07-24 12:15,2024-07-24 17:40,932,1.73,H,No Limit,Turbo,26.73,129,Bounty Deep-Stack Multi-Entry,USD,,19550,8,48.33,"Bounty Hunters Deepstack Turbo $21.60",145,20.0
GGNetwork,"CashinAintEasy",154001100,23.0,2024-07-22 16:00,2024-07-23 01:33,2316,2.0,H,No Limit,Normal,-25.00,1552,Bounty,USD,,34409,8,,"GGMasters Bounty $25, $50K GTD",,
GGNetwork,"CashinAintEasy",153994670,9.94,2024-07-22 15:30,2024-07-23 01:04,2310,0.86,H,No Limit,Normal,30.61,164,Bounty Multi-Entry,USD,,34446,8,41.41,"Bounty Hunters 25 Grand $10.80",629,
GGNetwork,"CashinAintEasy",154729722,13.8,2024-07-22 15:00,2024-07-22 23:48,6647,1.2,H,No Limit,Normal,-15.00,,Bounty Deep-Stack Multi-Entry,USD,,31720,8,,"$15 Mini Monday Monster Stack [Bounty Edition]",2838,
PokerStars,"iagomialaret",3779534932,30.0,2024-07-22 15:30,2024-07-22 23:11,1155,3.0,H,No Limit,Normal,53.85,143,Bounty Multi-Entry,USD,,27686,8,86.85,"Bounty Builder $33, $35K Gtd",257,48.75
GGNetwork,"CashinAintEasy",154729720,23.0,2024-07-22 14:30,2024-07-22 23:03,4441,2.0,H,No Limit,Normal,124.20,117,Bounty Deep-Stack Multi-Entry,USD,,30838,8,149.2,"$25 Bounty Big Game",1518,
GGNetwork,"CashinAintEasy",153952046,23.0,2024-07-22 12:00,2024-07-22 22:07,4582,2.0,H,No Limit,Normal,-17.50,3164,Bounty,USD,,36474,8,7.5,"GGMasters Bounty Warm-Up $25, $100K GTD",,
PokerStars,"iagomialaret",3779538720,50.0,2024-07-22 13:30,2024-07-22 22:03,1605,5.0,H,No Limit,Normal,143.60,85,Bounty Progressive-Bounty Multi-Entry,USD,,30835,8,198.6,"$55 Mini Bounty Builder HR [Progressive KO], $100K Gtd",547,96.87
PokerStars,"iagomialaret",3779534842,6.69,2024-07-22 14:30,2024-07-22 21:54,1805,0.81,H,No Limit,Normal,-5.80,1852,Bounty Multi-Entry,USD,,26694,8,1.7,"Bounty Builder $7.50, $8K Gtd",441,1.7
PartyPoker,"iAGOOO-",390911885,10.0,2024-07-22 15:05,2024-07-22 21:49,745,1.0,H,No Limit,Normal,2.47,110,Bounty Multi-Entry,USD,,24240,7,13.47,"Grand Prix Summer 7-Max Super $11: $10,000 Gtd",216,
PokerStars,"iagomialaret",3779538718,9.8,2024-07-22 13:30,2024-07-22 21:32,2991,1.2,H,No Limit,Normal,-11.00,1955,Bounty Mystery-Bounty Multi-Entry,USD,,28932,8,,"Mystery Bounty $11, $25K Gtd / New Tournament!",1022,
GGNetwork,"CashinAintEasy",153964939,9.2,2024-07-22 13:05,2024-07-22 21:27,1254,0.8,H,No Limit,Normal,-10.00,,Multi-Entry,USD,,30164,8,,"Daily Special $10",318,
PokerStars,"iagomialaret",3779538715,24.55,2024-07-22 11:30,2024-07-22 21:05,1162,2.45,H,No Limit,Normal,-27.00,743,Bounty Progressive-Bounty Multi-Entry,USD,,34556,8,,"$27 Daily Eliminator [Progressive KO], $30K Gtd",305,
PokerStars,"iagomialaret",3779538719,4.9,2024-07-22 13:30,2024-07-22 20:42,2852,0.6,H,No Limit,Normal,-5.50,2589,Bounty Progressive-Bounty Multi-Entry,USD,,25934,8,,"$5.50 Micro Bounty Builder HR [Progressive KO], $12K Gtd - New Tournament!",993,
GGNetwork,"CashinAintEasy",155347759,13.8,2024-07-22 12:30,2024-07-22 20:36,3195,1.2,H,No Limit,Normal,-11.50,534,Bounty Multi-Entry,USD,,29183,8,3.5,"Bounty Hunters Special $15",938,
GGNetwork,"CashinAintEasy",153979347,8.17,2024-07-22 14:15,2024-07-22 20:31,2186,0.71,H,No Limit,Turbo,-8.88,,Bounty Deep-Stack Multi-Entry,USD,,22597,8,,"Bounty Hunters Deepstack Turbo $8.88",497,
PokerStars,"iagomialaret",3779534720,9.8,2024-07-22 12:30,2024-07-22 20:04,1751,1.2,H,No Limit,Normal,-11.00,1327,Bounty Multi-Entry,USD,,27280,8,,"Bounty Builder $11, $15K Gtd",421,
PartyPoker,"iAGOOO-",392215349,10.0,2024-07-22 13:05,2024-07-22 19:31,646,1.0,H,No Limit,Normal,9.24,54,Bounty Multi-Entry,USD,,23155,9,20.24,"Grand Prix Summer 8-Max PKO: $8K Gtd",152,3.75
GGNetwork,"CashinAintEasy",153928862,23.0,2024-07-22 10:00,2024-07-22 19:28,1982,2.0,H,No Limit,Normal,-25.00,542,Deep-Stack,USD,,34096,8,,"GGMasters Double Stack $25, $35K GTD",,
GGNetwork,"CashinAintEasy",153966924,2.94,2024-07-22 13:15,2024-07-22 19:04,3045,0.26,H,No Limit,Turbo,-3.20,,Bounty Deep-Stack Multi-Entry,USD,,20998,8,,"Bounty Hunters Deepstack Turbo $3.20",828,
GGNetwork,"CashinAintEasy",153966916,29.44,2024-07-22 13:15,2024-07-22 18:36,711,2.56,H,No Limit,Turbo,-13.25,304,Bounty Deep-Stack Multi-Entry,USD,,19299,8,18.75,"Bounty Hunters Deepstack Turbo $32",123,
PokerStars,"iagomialaret",3776952006,9.8,2024-07-21 15:00,2024-07-22 18:25,6409,1.2,H,No Limit,Normal,-33.00,5536,Multi-Entry,USD,,98754,8,,"$11 Sunday Storm, $100K Gtd - 2-Day Event - Vanilla Edition!",2418,
PokerStars,"iagomialaret",3776952006,9.8,2024-07-21 15:00,2024-07-22 18:25,6409,1.2,H,No Limit,Normal,-33.00,7968,Multi-Entry,USD,,98754,8,,"$11 Sunday Storm, $100K Gtd - 2-Day Event - Vanilla Edition!",2418,
PokerStars,"iagomialaret",3776952006,9.8,2024-07-21 15:00,2024-07-22 18:25,6409,1.2,H,No Limit,Normal,-33.00,8557,Multi-Entry,USD,,98754,8,,"$11 Sunday Storm, $100K Gtd - 2-Day Event - Vanilla Edition!",2418,
GGNetwork,"CashinAintEasy",153955011,19.87,2024-07-22 12:15,2024-07-22 17:49,882,1.73,H,No Limit,Turbo,-21.60,,Bounty Deep-Stack Multi-Entry,USD,,20065,8,,"Bounty Hunters Deepstack Turbo $21.60",147,
GGNetwork,"CashinAintEasy",153234376,13.8,2024-07-21 17:00,2024-07-22 02:44,10556,1.2,H,No Limit,Normal,-15.00,,Bounty Mystery-Bounty Multi-Entry,USD,,35083,8,,"$15 Mini Showdown [Mystery Bounty]",7029,
