Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"Mr.Bittar",3988615978,50.0,2026-04-06 13:30,2026-04-06 22:33,1575,5.0,H,No Limit,Normal,22.90,1969,Bounty Progressive-Bounty Multi-Entry,USD,,32591,8,77.9,"$55 Mini Bounty Builder HR [Progressive KO], $80K Gtd",565,132.8
PokerStars(FR-ES-PT),"RedemptionRiver",3983882995,27.0,2026-04-06 16:00,2026-04-06 22:05,569,3.0,H,No Limit,Normal,-30.00,461,Bounty Progressive-Bounty Multi-Entry,EUR,,21921,9,,"SCOOP-98: €30 Bounty Champion [Progressive KO], €17,500 guaranteed",109,
PokerStars(FR-ES-PT),"RedemptionRiver",3983891281,45.0,2026-04-05 15:00,2026-04-06 21:42,2199,5.0,H,No Limit,Normal,-100.00,1993,Multi-Entry,EUR,,110546,8,,"SCOOP-84: Spicy 50 [8-Max], €40,000 for first!, €150,000 Guaranteed",1018,
PokerStars(FR-ES-PT),"RedemptionRiver",3983891281,45.0,2026-04-05 15:00,2026-04-06 21:42,2199,5.0,H,No Limit,Normal,-100.00,1391,Multi-Entry,EUR,,110546,8,,"SCOOP-84: Spicy 50 [8-Max], €40,000 for first!, €150,000 Guaranteed",1018,
PokerStars(FR-ES-PT),"RedemptionRiver",3983882988,18.0,2026-04-06 14:00,2026-04-06 20:47,1620,2.0,H,No Limit,Normal,-35.50,1168,6-Max Bounty Progressive-Bounty Multi-Entry,EUR,,24426,6,,"SCOOP-92: €20 Bounty Champion [Progressive KO, 6-Max], €25,000 guaranteed",396,4.5
PokerStars(FR-ES-PT),"RedemptionRiver",3983882988,18.0,2026-04-06 14:00,2026-04-06 20:47,1620,2.0,H,No Limit,Normal,-35.50,1913,6-Max Bounty Progressive-Bounty Multi-Entry,EUR,,24426,6,,"SCOOP-92: €20 Bounty Champion [Progressive KO, 6-Max], €25,000 guaranteed",396,4.5
PokerStars(FR-ES-PT),"RedemptionRiver",3983882989,45.0,2026-04-06 14:00,2026-04-06 20:36,833,5.0,H,No Limit,Normal,-100.00,890,6-Max Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,EUR,,23771,6,,"SCOOP-93: €50 Mega Mystery [Mystery Bounty, 6-Max], €40,000 guaranteed",312,
PokerStars(FR-ES-PT),"RedemptionRiver",3983882989,45.0,2026-04-06 14:00,2026-04-06 20:36,833,5.0,H,No Limit,Normal,-100.00,351,6-Max Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,EUR,,23771,6,,"SCOOP-93: €50 Mega Mystery [Mystery Bounty, 6-Max], €40,000 guaranteed",312,
PokerStars(FR-ES-PT),"RedemptionRiver",3983882987,27.0,2026-04-06 13:00,2026-04-06 19:35,623,3.0,H,No Limit,Normal,-30.00,665,Multi-Entry,EUR,,23744,8,,"SCOOP-91: €30 April Showers [8-Max], €12,500 guaranteed",179,
iPoker,"KellySeveride",1158915047,27.3,2026-04-06 11:00,2026-04-06 19:26,649,2.7,H,No Limit,Normal,-30.00,511,Bounty Deep-Stack Multi-Entry,EUR,,30371,8,,"€20,000 GTD ELIMINATOR",194,
PokerStars,"Mr.Bittar",3987720333,100.0,2026-04-05 14:05,2026-04-06 17:41,3737,9.0,H,No Limit,Normal,-218.00,3773,Bounty Progressive-Bounty Multi-Entry,USD,,99406,8,,"$109 Sunday Special [Progressive KO], $400K Gtd - 2-Day Event",1138,
PokerStars,"Mr.Bittar",3987720333,100.0,2026-04-05 14:05,2026-04-06 17:41,3737,9.0,H,No Limit,Normal,-218.00,4761,Bounty Progressive-Bounty Multi-Entry,USD,,99406,8,,"$109 Sunday Special [Progressive KO], $400K Gtd - 2-Day Event",1138,
PokerStars,"Mr.Bittar",3986897953,50.0,2026-04-05 13:30,2026-04-05 23:16,3257,5.0,H,No Limit,Normal,-55.00,1337,Bounty Progressive-Bounty Multi-Entry,USD,,35199,8,,"$55 Mini Bounty Builder HR [Progressive KO], $200K Gtd",1079,
PokerStars,"Mr.Bittar",3986897944,24.55,2026-04-05 11:30,2026-04-05 21:52,2506,2.45,H,No Limit,Normal,29.96,441,Bounty Progressive-Bounty Multi-Entry,USD,,37327,8,56.96,"$27 Sunday Eliminator [Progressive KO], $80K Gtd",618,33.66
PokerStars(FR-ES-PT),"RedemptionRiver",3983882977,45.0,2026-04-05 13:00,2026-04-05 21:48,1444,5.0,H,No Limit,Normal,106.55,255,6-Max Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,EUR,,31739,6,156.55,"SCOOP-81: €50 Sunday Bounty [Mega Mystery, 6-Max], €75,000 guaranteed",538,113.3
iPoker,"KellySeveride",1158441451,45.5,2026-04-05 12:15,2026-04-05 19:33,222,4.5,H,No Limit,Normal,-50.00,94,Deep-Stack Multi-Entry,EUR,,26322,8,,"TFO|€50 SPECIAL",69,
iPoker,"KellySeveride",1158806783,27.3,2026-04-05 11:00,2026-04-05 18:18,870,2.7,H,No Limit,Normal,-30.00,468,Bounty Deep-Stack Multi-Entry,EUR,,26305,8,,"€30,000 GTD SUNDAY ELIMINATOR",190,
PokerStars,"Mr.Bittar",3986897773,50.0,2026-04-03 13:30,2026-04-03 22:31,1337,5.0,H,No Limit,Normal,165.51,42,Bounty Progressive-Bounty Multi-Entry,USD,,32495,8,220.51,"$55 Mini Bounty Builder HR [Progressive KO], $70K Gtd",435,90.62
PokerStars,"Mr.Bittar",3986897781,30.0,2026-04-03 16:30,2026-04-03 21:45,430,3.0,H,No Limit,Normal,-25.50,134,Bounty Progressive-Bounty Multi-Entry,USD,,18926,8,7.5,"Meteor $33 [8-Max, Progressive KO], $12K Gtd",72,7.5
PokerStars,"Mr.Bittar",3986897693,20.0,2026-04-02 14:30,2026-04-02 22:56,1786,2.0,H,No Limit,Normal,-7.00,375,Bounty Progressive-Bounty Multi-Entry,USD,,30369,8,15.0,"$22 Mini Thursday Thrill [Progressive KO], $30K Gtd / New Buy-In!",510,15.0
PokerStars,"Mr.Bittar",3986897689,50.0,2026-04-02 13:30,2026-04-02 22:12,1273,5.0,H,No Limit,Normal,-55.00,554,Bounty Progressive-Bounty Multi-Entry,USD,,31321,8,,"$55 Mini Bounty Builder HR [Progressive KO], $70K Gtd",443,
PokerStars,"Mr.Bittar",3986897700,30.0,2026-04-02 16:30,2026-04-02 21:43,371,3.0,H,No Limit,Normal,-14.25,98,Bounty Progressive-Bounty Multi-Entry,USD,,18785,8,18.75,"Meteor $33 [8-Max, Progressive KO], $10K Gtd",61,18.75
PokerStars,"Mr.Bittar",3986897603,20.0,2026-04-01 14:30,2026-04-02 00:08,2178,2.0,H,No Limit,Normal,-44.00,1537,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,34708,8,,"$22 Mini Wednesday Surprise [Mystery Bounty], $50K Gtd",869,
PokerStars,"Mr.Bittar",3986897603,20.0,2026-04-01 14:30,2026-04-02 00:08,2178,2.0,H,No Limit,Normal,-44.00,1995,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,USD,,34708,8,,"$22 Mini Wednesday Surprise [Mystery Bounty], $50K Gtd",869,
PokerStars,"Mr.Bittar",3986897598,50.0,2026-04-01 13:30,2026-04-01 21:54,1129,5.0,H,No Limit,Normal,-97.50,497,Bounty Progressive-Bounty Multi-Entry,USD,,30295,8,,"$55 Mini Bounty Builder HR [Progressive KO], $70K Gtd",417,12.5
PokerStars,"Mr.Bittar",3986897598,50.0,2026-04-01 13:30,2026-04-01 21:54,1129,5.0,H,No Limit,Normal,-97.50,1200,Bounty Progressive-Bounty Multi-Entry,USD,,30295,8,,"$55 Mini Bounty Builder HR [Progressive KO], $70K Gtd",417,12.5
iPoker,"KellySeveride",1158356606,45.5,2026-04-01 12:00,2026-04-01 21:28,719,4.5,H,No Limit,Normal,-50.00,464,Bounty Deep-Stack Multi-Entry,EUR,,34121,7,,"€45,000 GTD ULTRA",334,
PokerStars,"Mr.Bittar",3986897609,30.0,2026-04-01 16:30,2026-04-01 21:27,329,3.0,H,No Limit,Normal,-33.00,92,Bounty Progressive-Bounty Multi-Entry,USD,,17839,8,,"Meteor $33 [8-Max, Progressive KO], $10K Gtd",44,
iPoker,"KellySeveride",1159003630,45.5,2026-04-01 14:00,2026-04-01 20:35,362,4.5,H,No Limit,Normal,-38.62,106,Bounty Progressive-Bounty Deep-Stack Multi-Entry,EUR,,23726,8,11.38,"€20,000 GTD PKO MAIN",100,11.38
PokerStars(FR-ES-PT),"RedemptionRiver",3977676428,232.5,2026-03-29 15:00,2026-03-31 19:41,3379,17.5,H,No Limit,Normal,-250.00,2725,Bounty Progressive-Bounty Mystery-Bounty Multi-Entry,EUR,,189683,8,,"SCOOP-06: €250 NL Hold'em: SUNDAY MILLION [8-Max, Mystery Bounty], €1,000,000 guaranteed + Trophy for the winner",440,
